n_trials,status,differential_norm,common_state_norm,differential_partial_r2,permutation_p,null_differential_norm_mean,subject,ablation
80,ok,0.11543823171964775,0.2733135476981342,0.012046108205998163,0.594059405940594,0.12383535472295566,A44,open_loop_R1_R2
79,ok,0.39479715358170897,0.37371147792627485,0.012919504002207205,0.019801980198019802,0.3609342251515406,A48,open_loop_R1_R2
77,ok,0.21914998589606713,0.2862430324003113,0.012574974157927299,0.8613861386138614,0.23114293085690213,A52,open_loop_R1_R2
80,ok,0.1082132234282292,0.32129224368189363,0.011609009887400545,0.5742574257425742,0.12232154002561371,A56,open_loop_R1_R2
80,ok,0.1264977004014479,0.14594054486602018,0.014852415791262952,0.12871287128712872,0.10043594667887534,A60,open_loop_R1_R2
80,ok,0.11692613583167735,0.3944082144936669,0.012496325552523557,0.7524752475247525,0.14069362581888206,B64,open_loop_R1_R2
80,ok,0.25438161973545864,0.5437166207477151,0.013426308687735089,0.2079207920792079,0.23665444607278247,B68,open_loop_R1_R2
80,ok,0.11543999223420652,0.34236513675064034,0.009031551327151832,0.37623762376237624,0.10486295074495447,B80,open_loop_R1_R2
238,ok,0.29436986773697343,0.37108505381298307,0.0025062470105310375,0.5544554455445545,0.2985988606081272,A1,circular_sensorimotor_idle_proxy
238,ok,1.5035214676581983,1.938440075187046,0.0015398651717856149,0.5544554455445545,1.505494804009213,A5,circular_sensorimotor_idle_proxy
238,ok,1.3341526385191618,2.3296731222017772,0.002468509846509259,0.4158415841584158,1.3333778284816156,A29,circular_sensorimotor_idle_proxy
240,ok,1.3723735887246546,0.8731199658118424,0.0027248353541891035,0.7425742574257426,1.3728586883544842,A33,circular_sensorimotor_idle_proxy
239,ok,1.1809140189284393,1.8822253167912035,0.0016231655162584069,0.06930693069306931,1.1794541169566777,A37,circular_sensorimotor_idle_proxy
236,ok,0.6292209238151397,0.9848564061101639,0.002106619798853071,0.33663366336633666,0.6282745994786767,A41,circular_sensorimotor_idle_proxy
240,ok,0.05084822274325486,0.1094760633570969,0.0009579157494866708,0.9603960396039604,0.051970974820095925,A45,circular_sensorimotor_idle_proxy
240,ok,0.6092469644991263,0.18104816279431002,0.004085755406850189,0.21782178217821782,0.6020321325751592,B69,circular_sensorimotor_idle_proxy
238,ok,0.4969931944045453,0.9999538605881431,0.009075158598261024,0.019801980198019802,0.4329978551168022,B73,circular_sensorimotor_idle_proxy
239,ok,0.5256174622309945,0.6940184391295466,0.0020166639129752806,0.5247524752475248,0.5299247951287702,B77,circular_sensorimotor_idle_proxy
240,ok,0.5514830341265037,0.40297395397081837,0.007233158034987031,0.504950495049505,0.5599207898598665,B81,circular_sensorimotor_idle_proxy
240,ok,0.2225336945278794,0.09167668635477476,0.013066366675319685,0.09900990099009901,0.21895030240314392,C85,circular_sensorimotor_idle_proxy
238,ok,0.4833647326561361,1.7812588824455027,0.0015602605944227133,0.38613861386138615,0.4770689190720418,A2,circular_sensorimotor_idle_proxy
238,ok,1.9619417848167264,0.7969355755447756,0.001417912499800722,0.6336633663366337,1.9639160729579768,A6,circular_sensorimotor_idle_proxy
236,ok,1.3964063979131123,1.206744245149849,0.0009724309484909766,0.1782178217821782,1.3916714795279927,A14,circular_sensorimotor_idle_proxy
240,ok,0.3138689743965679,2.4732709479949255,0.0012834723395909187,0.19801980198019803,0.3135353514086432,A18,circular_sensorimotor_idle_proxy
239,ok,0.29058316966597697,0.28171995214693507,0.003750761605006536,0.5445544554455446,0.296642116217326,A22,circular_sensorimotor_idle_proxy
237,ok,1.0462355422027483,0.5664921514155932,0.002156783395861339,0.009900990099009901,1.0400080458156389,A26,circular_sensorimotor_idle_proxy
240,ok,0.7413373855807913,0.8292033366640233,0.004310759741161796,0.039603960396039604,0.7185736285869847,A34,circular_sensorimotor_idle_proxy
240,ok,1.4954953481889028,1.9639851832094228,0.001089737066571117,0.06930693069306931,1.4861619768639176,A38,circular_sensorimotor_idle_proxy
240,ok,0.10377456340061568,0.12734594261106963,0.004433886274881393,0.27722772277227725,0.1023572842763,A42,circular_sensorimotor_idle_proxy
240,ok,0.09973195529587155,0.1189972549700676,0.004556862259642025,0.009900990099009901,0.09733926611615087,A50,circular_sensorimotor_idle_proxy
240,ok,0.0732289398630007,0.423940778149784,0.005434091266527941,0.49504950495049505,0.07339917317411945,A54,circular_sensorimotor_idle_proxy
239,ok,0.7194552063092207,0.35207889590424235,0.004303652211704034,0.46534653465346537,0.7203394189478413,B62,circular_sensorimotor_idle_proxy
239,ok,0.4174147590806461,0.5401748829092464,0.0030618167987110922,0.13861386138613863,0.4017736918478006,B66,circular_sensorimotor_idle_proxy
240,ok,0.4768865191958768,0.36035045820578804,0.00485349548083458,0.2871287128712871,0.47486986461526953,B74,circular_sensorimotor_idle_proxy
239,ok,1.2895021218319238,1.5367741075744972,0.000609047438695498,0.7821782178217822,1.3041656190369288,B78,circular_sensorimotor_idle_proxy
240,ok,0.9229353432422529,0.322806060985693,0.0017237936045779723,0.09900990099009901,0.9146634564822329,C82,circular_sensorimotor_idle_proxy
240,ok,0.5678926380994087,1.2407820617484033,0.003314385919242935,0.2079207920792079,0.5544370302268015,A3,circular_sensorimotor_idle_proxy
240,ok,1.2398421863024924,0.3428909728694682,0.003888129404854168,0.9108910891089109,1.2530341348547498,A15,circular_sensorimotor_idle_proxy
