subject,dataset,latent_dimension,component,validity_label,sctm_n_trials,sctm_status,sctm_differential_norm,sctm_common_state_norm,sctm_differential_partial_r2,sctm_permutation_p,sctm_null_differential_norm_mean,cross_low_to_high_within_auc,cross_low_to_high_cross_auc,cross_high_to_low_within_auc,cross_high_to_low_cross_auc,cross_status,cross_cross_state_gap
A26,A,2,2,fixed_dimension_sensitivity_ablation,237,ok,1.169696285834627,0.6814547188909252,0.0027107079069295104,0.796812749003984,1.174027499332672,0.7006578947368421,0.6163682864450128,0.4718670076726343,0.7708333333333334,ok,-0.10733835868443489
A34,A,2,2,fixed_dimension_sensitivity_ablation,240,ok,0.7090360924429066,0.8858299194812774,0.001835350818287007,0.8924302788844621,0.7172582616422992,0.46135265700483097,0.40544217687074824,0.4857142857142857,0.5917874396135265,ok,-0.025081336882579047
A38,A,2,2,fixed_dimension_sensitivity_ablation,240,ok,1.6773575635932838,2.045955575891351,0.0028725081317698686,0.9282868525896414,1.6952299365554644,0.640198511166253,0.8883720930232559,0.8127906976744186,0.6116625310173697,ok,-0.02352270759997699
A42,A,2,2,fixed_dimension_sensitivity_ablation,240,ok,0.08639646477981082,0.12982444918462663,0.0019345593684488849,0.7569721115537849,0.08823211240380802,0.51375,0.574829931972789,0.5090702947845805,0.55125,ok,-0.051629818594104204
A50,A,2,2,fixed_dimension_sensitivity_ablation,240,ok,0.09792707712074737,0.12167705289765207,0.017685003048416803,0.6972111553784861,0.10086827494356125,0.47953964194373394,0.4715099715099715,0.5377492877492878,0.41304347826086946,ok,0.06636773996109038
A54,A,2,2,fixed_dimension_sensitivity_ablation,240,ok,0.049445962450556234,0.39837357249483757,0.00479471281997923,0.9561752988047809,0.05569211659396024,0.5060386473429952,0.6289855072463768,0.44057971014492747,0.5018115942028986,ok,-0.09208937198067635
B62,B,2,2,fixed_dimension_sensitivity_ablation,239,ok,0.7294689716607059,0.35231882511648394,0.0034476425335787653,0.06772908366533864,0.7166751669951331,0.8871428571428571,0.8089244851258581,0.7517162471395882,0.7585714285714287,ok,0.03568159529257925
B66,B,2,2,fixed_dimension_sensitivity_ablation,239,ok,0.4081345178123564,0.5472919804300471,0.00900523831815181,0.01195219123505976,0.38405848678715404,0.5558139534883721,0.48478260869565215,0.6521739130434784,0.6511627906976744,ok,0.03602123356926201
B74,B,2,2,fixed_dimension_sensitivity_ablation,240,ok,0.47075703642933847,0.3601438941099912,0.007889158663972995,0.852589641434263,0.478133346044625,0.8233333333333334,0.7114285714285715,0.7857142857142856,0.6055555555555555,ok,0.14603174603174596
B78,B,2,2,fixed_dimension_sensitivity_ablation,239,ok,1.2827229265958713,1.5881677320435992,0.002542292949591074,1.0,1.3023269225513545,0.8021978021978022,0.7906666666666666,0.7,0.6854395604395604,ok,0.013045787545787557
C82,C,2,2,fixed_dimension_sensitivity_ablation,240,ok,0.8915140215469878,0.3460276463911973,0.0018830720071161267,1.0,0.9174397474879845,0.4901960784313726,0.5866013071895425,0.7107843137254901,0.5928489042675894,ok,0.010765090349865392
A3,A,2,2,fixed_dimension_sensitivity_ablation,240,ok,0.5029326198322943,1.3716022830338512,0.0016776274799154,0.00796812749003984,0.43975945089036905,0.8799342105263158,0.8429752066115703,0.8636363636363635,0.7417763157894737,ok,0.07940952588081768
A15,A,2,2,fixed_dimension_sensitivity_ablation,240,ok,1.195617535996718,0.3402312315014519,0.0023158078546753336,1.0,1.2783811032119525,0.6363636363636362,0.538781163434903,0.7036011080332409,0.9024390243902439,ok,-0.05062772171413488
A19,A,2,2,fixed_dimension_sensitivity_ablation,240,ok,0.878246705482258,2.005893656224534,0.0023036413266557254,0.1752988047808765,0.872644488135574,0.9157142857142857,0.9183673469387754,0.9673469387755101,0.9028571428571429,ok,0.030918367346938758
A23,A,2,2,fixed_dimension_sensitivity_ablation,240,ok,0.23057171387686295,0.9235072204266471,0.0011089292170095577,0.08764940239043825,0.192756418968812,0.5994152046783625,0.7807017543859649,0.8347953216374269,0.847953216374269,ok,-0.09722222222222227
