subject,dataset,baseline,n_train,n_test,accuracy,error
B70,B,Tangent_logreg,160.0,80.0,0.4375,
B70,B,engineered_sensorimotor_logreg,160.0,80.0,0.4875,
B71,B,CSP_LDA,160.0,80.0,0.5125,
B71,B,FBCSP_proxy_logreg,160.0,80.0,0.55,
B71,B,Riemannian_MDM,160.0,80.0,0.4875,
B71,B,Tangent_logreg,160.0,80.0,0.525,
B71,B,engineered_sensorimotor_logreg,160.0,80.0,0.5625,
B72,B,CSP_LDA,160.0,80.0,0.525,
B72,B,FBCSP_proxy_logreg,160.0,80.0,0.6125,
B72,B,Riemannian_MDM,160.0,80.0,0.5875,
B72,B,Tangent_logreg,160.0,80.0,0.5,
B72,B,engineered_sensorimotor_logreg,160.0,80.0,0.525,
B73,B,CSP_LDA,160.0,80.0,0.6,
B73,B,FBCSP_proxy_logreg,160.0,80.0,0.6375,
B73,B,Riemannian_MDM,160.0,80.0,0.6625,
B73,B,Tangent_logreg,160.0,80.0,0.675,
B73,B,engineered_sensorimotor_logreg,160.0,80.0,0.6,
B74,B,CSP_LDA,160.0,80.0,0.7375,
B74,B,FBCSP_proxy_logreg,160.0,80.0,0.7125,
B74,B,Riemannian_MDM,160.0,80.0,0.775,
B74,B,Tangent_logreg,160.0,80.0,0.7,
B74,B,engineered_sensorimotor_logreg,160.0,80.0,0.5875,
B75,B,CSP_LDA,160.0,80.0,0.5,
B75,B,FBCSP_proxy_logreg,160.0,80.0,0.5875,
B75,B,Riemannian_MDM,160.0,80.0,0.525,
B75,B,Tangent_logreg,160.0,80.0,0.6,
B75,B,engineered_sensorimotor_logreg,160.0,80.0,0.5625,
B76,B,CSP_LDA,160.0,80.0,0.7375,
B76,B,FBCSP_proxy_logreg,160.0,80.0,0.7625,
B76,B,Riemannian_MDM,160.0,80.0,0.975,
B76,B,Tangent_logreg,160.0,80.0,0.9875,
B76,B,engineered_sensorimotor_logreg,160.0,80.0,0.8,
B77,B,CSP_LDA,160.0,80.0,0.5625,
B77,B,FBCSP_proxy_logreg,160.0,80.0,0.6125,
B77,B,Riemannian_MDM,160.0,80.0,0.5375,
B77,B,Tangent_logreg,160.0,80.0,0.5375,
B77,B,engineered_sensorimotor_logreg,160.0,80.0,0.5125,
