subject,control,repeat,low_to_high_within_auc,low_to_high_cross_auc,high_to_low_within_auc,high_to_low_cross_auc,status,cross_state_gap
B73,within_run_trial_index,0,0.8644736842105263,0.93296853625171,0.9712722298221614,0.8894736842105264,ok,0.006651846785225679
B73,random_within_run_split,0,0.9359375000000001,0.9151162790697673,0.7465116279069768,0.81875,ok,-0.02570857558139522
B73,within_run_state_permutation,1,0.8857782754759238,0.8415032679738561,0.926470588235294,0.9328107502799553,ok,0.01896742272870322
B73,within_run_trial_index,1,0.8644736842105263,0.93296853625171,0.9712722298221614,0.8894736842105264,ok,0.006651846785225679
B73,random_within_run_split,1,0.8466666666666667,0.7988394584139266,0.8491295938104448,0.8544444444444445,ok,0.021256178809370252
B73,within_run_state_permutation,2,0.8048780487804879,0.922077922077922,0.8668831168831168,0.8432055749128919,ok,-0.046761165663604665
B73,within_run_trial_index,2,0.8644736842105263,0.93296853625171,0.9712722298221614,0.8894736842105264,ok,0.006651846785225679
B73,random_within_run_split,2,0.8762755102040816,0.9102941176470588,0.9617647058823529,0.9311224489795918,ok,-0.0016881752701081165
B73,within_run_state_permutation,3,0.8725490196078431,0.9370988446726574,0.7830551989730423,0.8529411764705883,ok,-0.0672179012811801
B73,within_run_trial_index,3,0.8644736842105263,0.93296853625171,0.9712722298221614,0.8894736842105264,ok,0.006651846785225679
B73,random_within_run_split,3,0.9545454545454546,0.900854700854701,0.905982905982906,0.8733766233766234,ok,0.04314851814851811
B73,within_run_state_permutation,4,0.9368421052631579,0.9152777777777777,0.825,0.881578947368421,ok,-0.017507309941520444
B73,within_run_trial_index,4,0.8644736842105263,0.93296853625171,0.9712722298221614,0.8894736842105264,ok,0.006651846785225679
B73,random_within_run_split,4,0.9325681492109039,0.924812030075188,0.8972431077694236,0.8866571018651364,ok,0.009171062520001605
B77,observed_state,0,0.6153846153846154,0.7032967032967034,0.5510204081632654,0.5087719298245614,ok,-0.022831804786692
B77,within_run_state_permutation,0,0.5955882352941176,0.6944444444444444,0.6490740740740741,0.5686274509803921,ok,-0.009204793028322389
B77,within_run_trial_index,0,0.7240896358543418,0.4971014492753623,0.6927536231884058,0.7212885154061625,ok,0.09922664718061144
B77,random_within_run_split,0,0.6142506142506142,0.6549019607843137,0.4294117647058824,0.6584766584766584,ok,-0.13485812015223775
B77,within_run_state_permutation,1,0.7364864864864864,0.7254901960784315,0.7745098039215687,0.5461711711711712,ok,0.1196674615792262
B77,within_run_trial_index,1,0.7240896358543418,0.4971014492753623,0.6927536231884058,0.7212885154061625,ok,0.09922664718061144
B77,random_within_run_split,1,0.46412037037037035,0.7232142857142857,0.5392857142857143,0.568287037037037,ok,-0.14404761904761904
B77,within_run_state_permutation,2,0.4803921568627451,0.37826086956521743,0.5710144927536233,0.6358543417366946,ok,0.018645719157228152
B77,within_run_trial_index,2,0.7240896358543418,0.4971014492753623,0.6927536231884058,0.7212885154061625,ok,0.09922664718061144
B77,random_within_run_split,2,0.4160206718346253,0.6299516908212561,0.7971014492753623,0.6408268733850129,ok,-0.028828221548140687
B77,within_run_state_permutation,3,0.8066666666666666,0.713235294117647,0.5441176470588235,0.5349999999999999,ok,0.05127450980392162
B77,within_run_trial_index,3,0.7240896358543418,0.4971014492753623,0.6927536231884058,0.7212885154061625,ok,0.09922664718061144
B77,random_within_run_split,3,0.7525,0.5607638888888888,0.5572916666666666,0.58625,ok,0.08138888888888884
B77,within_run_state_permutation,4,0.7757575757575758,0.7874331550802138,0.5922459893048128,0.5196969696969697,ok,0.030436720142602514
B77,within_run_trial_index,4,0.7240896358543418,0.4971014492753623,0.6927536231884058,0.7212885154061625,ok,0.09922664718061144
B77,random_within_run_split,4,0.5243506493506493,0.7373737373737373,0.42803030303030304,0.4675324675324675,ok,-0.12626262626262624
B81,observed_state,0,0.4585365853658537,0.5181818181818182,0.6625,0.2634146341463415,ok,0.169720066518847
B81,within_run_state_permutation,0,0.5967365967365967,0.5443840579710144,0.5181159420289856,0.5314685314685315,ok,0.019499974663018227
B81,within_run_trial_index,0,0.5539772727272727,0.5121951219512195,0.5802310654685493,0.40198863636363635,ok,0.11001228994048307
B81,random_within_run_split,0,0.5193992490613267,0.564327485380117,0.4546783625730994,0.44180225281602004,ok,-0.016026063280855457
B81,within_run_state_permutation,1,0.35142118863049093,0.4705882352941177,0.5854341736694677,0.5607235142118864,ok,-0.04722819360302272
